TestPerson2
Head,Mouse,Gun
9
42
18
@ 
far, dynamic, 292.548, 850.231, 139.027
far, static, 118.719, 820.018, 451.393
far, dynamic, -648.865, 557.286, 380.011
medium, dynamic, 270.991, 486.301, 323.774
close, dynamic, -143.43, 263.067, 114.955
far, static, -661.25, 560.215, 342.71
medium, dynamic, 116.398, 568.295, 253.273
far, static, -715.998, 438.567, 424.046
medium, static, -551.88, 203.469, 218.443
close, dynamic, 127.077, 262.009, 172.131
medium, static, -560.79, 96.4403, 290.301
far, dynamic, 349.134, 810.118, 278.364
close, dynamic, 96.5528, 249.752, 235.282
medium, dynamic, -187.321, 559.109, 210.942
medium, dynamic, 464.7, 370.152, 183.912
close, static, -244.966, 133.512, 210.3
medium, dynamic, 416.959, 376.694, 310.349
medium, dynamic, -258.903, 539.271, 146.438
far, static, 853.865, 283.11, 127.63
close, static, 268.152, 90.1336, 199.851
close, dynamic, 185.1, 202.871, 220.754
close, dynamic, -149.015, 241.906, 196.31
medium, static, 441.728, 306.461, 366.381
close, dynamic, 120.932, 269.543, 152.172
close, dynamic, 32.8062, 290.533, 167.19
far, static, -756.887, 429.258, 329.911
medium, dynamic, 171.88, 564.829, 206.888
close, static, 216.457, 202.378, 146.794
close, static, -270.205, 79.4933, 203.297
far, static, 855.634, 268.28, 176.911
medium, dynamic, -297.675, 516.797, 165.656
close, static, -249.47, 145.668, 180.905
medium, static, 449.526, 340.054, 305.646
close, dynamic, 91.2996, 284.738, 124.263
close, dynamic, 36.4567, 278.442, 205.549
close, dynamic, 240.317, 106.329, 244.713
medium, dynamic, -394.476, 432.81, 230.63
medium, static, -423.889, 397.15, 250.3
far, static, -261.962, 860.98, 109.432
close, dynamic, 143.916, 250.891, 179.637
close, static, -199.375, 187.287, 223.179
medium, dynamic, -355.255, 464.802, 233.242
@ 
far, static, 548.027, 646.376, 403.091
medium, static, 272.779, 526.563, 191.23
far, dynamic, 262.534, 777.853, 468.81
close, dynamic, -275.316, 81.89, 186.576
far, static, 489.161, 657.077, 472.789
close, dynamic, 160.102, 253.234, 115.492
far, dynamic, -792.04, 427.4, 101.3
far, static, -9.1707, 823.821, 462.265
close, static, 243.243, 121.11, 227.143
medium, dynamic, -426.311, 297.669, 399.42
close, static, -250.424, 110.816, 222.505
close, dynamic, -286.946, 75.9592, 143.501
medium, dynamic, 393.617, 412.66, 286.487
close, static, 270.211, 110.042, 169.833
close, dynamic, -293.75, 60.9043, 101.283
far, static, -817.087, 80.6639, 468.595
close, dynamic, 217.401, 144.139, 248.192
medium, dynamic, 506.923, 185.783, 361.751
far, dynamic, 425.612, 710.812, 451.569
close, static, -175.627, 227.195, 186.82
close, static, -255.677, 50.4782, 248.597
